etf_id,backtest_start,backtest_end,total_return,cagr,max_drawdown,sharpe_ratio
VOO,2015-05-01,2025-08-29,2.676180594734397,0.13421787435627097,-0.3399300050943631,0.7860802241006257
IVV,2015-05-01,2025-08-29,2.6513419325919285,0.13347423419942595,-0.3390317224674768,0.7810511332692728
SPY,2015-05-01,2025-08-29,2.6490578646854672,0.13340562269471357,-0.3371726526609602,0.7847127163532716
VTI,2015-05-01,2025-08-29,2.4773342315609628,0.12813267269671114,-0.3500028346136258,0.7483177248303212
QQQ,2015-05-01,2025-08-29,4.653806920268006,0.18244639551310726,-0.3511873663496149,0.864139496298993
VUG,2015-05-01,2025-08-29,3.6241838650382583,0.15967285478676274,-0.3561298136329455,0.8040107704417706
VEA,2015-05-01,2025-08-29,0.9160544984312144,0.06492772687796666,-0.35735095983426934,0.4491099612818514
IEFA,2015-05-01,2025-08-29,0.9029108526595486,0.06421882938184531,-0.3478522495426887,0.44523984201833167
VTV,2015-05-01,2025-08-29,1.7852392022308874,0.10417013352264815,-0.3678141291515239,0.6708532522746978
BND,2015-05-01,2025-08-29,0.19474791400189062,0.017362456707720186,-0.18582125104768343,0.34331058828576533
AGG,2015-05-01,2025-08-29,0.18624144493301098,0.016659456602742484,-0.18432953992322731,0.3371544836980247
IWF,2015-05-01,2025-08-29,3.8799926671901295,0.16572917767235396,-0.3272262482921301,0.8422740817522555
GLD,2015-05-01,2025-08-29,1.8127874263694066,0.10522195243183896,-0.22002168134715383,0.7700726836717989
VXUS,2015-05-01,2025-08-29,0.8212742287783419,0.05971409113687476,-0.35972337526493003,0.42214529992228783
VGT,2015-05-01,2025-08-29,6.086482808145744,0.20856681476709915,-0.35074066547819327,0.9046654488088385
IEMG,2015-05-01,2025-08-29,0.575450645671139,0.044953438881739416,-0.38706519511603343,0.31997026501942
IJH,2015-05-01,2025-08-29,1.5202120180444125,0.09354087458416105,-0.4218349608647619,0.5313912366995832
VWO,2015-05-01,2025-08-29,0.5696145286495677,0.04457833645425113,-0.3639235709709513,0.3204845909777869
VIG,2015-05-01,2025-08-29,2.1776253532280774,0.11833884904224368,-0.31716262680081586,0.772219977056156
VO,2015-05-01,2025-08-29,1.6262828816605834,0.09791089497987504,-0.39370475463886245,0.5863299243964628
IJR,2015-05-01,2025-08-29,1.370169340824606,0.08706660638947472,-0.4435868573964137,0.48208642565982107
XLK,2015-05-01,2025-08-29,5.891962994002141,0.20531702580793243,-0.3355907139540284,0.8985654740385917
SPLG,2015-05-01,2025-08-29,2.6560327840175084,0.13361502200398512,-0.3387041118324058,0.784125860642914
IBIT,2024-01-11,2025-08-29,1.3071723831380018,0.6686147087985597,-0.28223282593190135,1.2537860061560355
ITOT,2015-05-01,2025-08-29,2.48990098830807,0.1285264359829672,-0.35003914036478545,0.7515701526564837
RSP,2015-05-01,2025-08-29,1.73099659260598,0.10207133512846878,-0.39041304382589515,0.617920784567324
SCHD,2015-05-01,2025-08-29,1.9280065976616543,0.10952266357223439,-0.33367068601246797,0.702206897420215
BNDX,2015-05-01,2025-08-29,0.21978334520908382,0.01940553628780073,-0.16226603790914407,0.49546145773747063
IWM,2015-05-01,2025-08-29,1.206492531661583,0.0795674317311168,-0.4113327416959043,0.45081907233691637
VB,2015-05-01,2025-08-29,1.4348939509413046,0.08990357737048482,-0.4204582628533762,0.5117480718323006
EFA,2015-05-01,2025-08-29,0.8487658927541701,0.06125110527938871,-0.3419338847042884,0.4293366856568366
VYM,2015-05-01,2025-08-29,1.7427012297998972,0.10252738612004797,-0.3520572837598751,0.6736978924084798
IVW,2015-05-01,2025-08-29,3.434295376917378,0.15497826151045313,-0.3271649146176233,0.8083036709324543
IWD,2015-05-01,2025-08-29,1.4156543035688114,0.08906746229841223,-0.3851430341380325,0.5754327164922052
QQQM,2020-10-13,2025-08-29,1.0002728381911625,0.15267146689849231,-0.35043820864167863,0.7391080950855655
SCHX,2015-05-01,2025-08-29,2.611470516410853,0.13227092212706415,-0.3433296633573967,0.773414451892799
VCIT,2015-05-01,2025-08-29,0.3622570355132271,0.03035817384148065,-0.2055565371482836,0.5111410552055723
SGOV,2020-06-01,2025-08-29,0.15752162848043394,0.028273591938978493,-0.0002993967848116119,11.530443695435325
XLF,2015-05-01,2025-08-29,2.318288309040789,0.12303483816164884,-0.4286250696262933,0.6330365543276214
QUAL,2015-05-01,2025-08-29,2.4204608883525007,0.12633438914856998,-0.3405675446692431,0.7451404233453907
VT,2015-05-01,2025-08-29,1.6241595816910284,0.09782499330475214,-0.342362126117184,0.6247290059668071
SCHF,2015-05-01,2025-08-29,0.8987039895479223,0.06399099936329788,-0.3487300998479249,0.44702854122584057
IAU,2015-05-01,2025-08-29,1.8577698205375799,0.10691958939579638,-0.21816334027372164,0.7808454526105071
VEU,2015-05-01,2025-08-29,0.8320320470198139,0.060318022886705736,-0.34977234160193726,0.4253916452002792
SCHG,2015-05-01,2025-08-29,3.8493083389512748,0.1650180662656735,-0.34591291849723327,0.8218470661437068
VNGDF,2015-08-21,2025-08-25,,,-1.0,
